,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
9230,A lot to see in South America,kayen maytchaf f 2amrika l janoubiya,كاين مايتشاف ف أمريكا ل جانوبييا,الكثير لرؤيته في أمريكا الجنوبية,TRUE,RIDA Ahlame,,,,,,,,,
9231,That is the Pacific Ocean,8ada l mou7iT l8adi,هادا ل موحيط لهادي,ذلك هو المحيط الهادئ,TRUE,RIDA Ahlame,,هادا هوا ل موحيط لهادي,FALSE,Yousef,,,,,
9232,The Atlantic Ocean is immense,l mou7iT l 2aTlaSi kbir bzzaf,ل موحيط ل أطلاصي كبير بزّاف,المحيط الأطلسي شاسع,TRUE,RIDA Ahlame,,ل موحيط ل أطلسي كبير بزّاف,FALSE,Yousef,,,,,
9233,The Indian Ocean is in the south of Asia,l mou7iT l 8indi kayen f janoub 2asya,ل موحيط ل هيندي كاين ف جانوب أسيا,المحيط الهندي يقع في جنوب آسيا,TRUE,RIDA Ahlame,,,,,,,,,
9234,Arctic Ocean,l mou7It chchamali l moutajammid,ل موحيت الشامالي ل موتاجامّيد,المحيط القطبي الشمالي,TRUE,RIDA Ahlame,,ل موحيت الشمالي ل متلج,FALSE,Yousef,,,,,
9235,I am a muslim,ana mouslim,أنا موسليم,أنا مسلم,TRUE,RIDA Ahlame,,,,,,,,,
9236,I am a christian,ana masi7i,أنا ماسيحي,أنا مسيحي,TRUE,RIDA Ahlame,,أنا مسيحي,FALSE,Yousef,,,,,
9237,I am a Jewish,ana ya8oudi,أنا ياهودي,أنا يهودي,TRUE,RIDA Ahlame,,أنا يهودي,FALSE,Yousef,,,,,
9238,I have no religion,ma3ndich 7tta diyyana,ماعنديش حتّا دييّانا,ليس لدي دين,TRUE,RIDA Ahlame,,ماعندي حتّا دييّانا,FALSE,Yousef,,,,,
9239,I believe in God,kan2amen b lla8,كانأمن ب اللاه,أنا أؤمن بالله,TRUE,RIDA Ahlame,,,,,,,,,
9240,I am an atheist,ana moul7id,أنا مولحيد,أنا ملحد,TRUE,RIDA Ahlame,,,,,,,,,
9241,I'm a religious person,ana 2insan moutadayyin,أنا إنسان موتادايّين,أنا شخص ديني,TRUE,RIDA Ahlame,,أنا إنسان موتدايّين,FALSE,Yousef,,,,,
9242,It's against my religion,8adchchi DeD ddin dyali,هادشّي ضض الدين ديالي,إنها ضد ديني,TRUE,RIDA Ahlame,,,,,,,,,
9243,Do you believe in any religion?,wach kat2amen bchi din ?,واش كاتأمن بشي دين ?,هل تؤمن بأي دين؟,TRUE,RIDA Ahlame,,,,,,,,,
9244,I have to go to the mosque,kheSSni nmchi l jjame3,خصّني نمشي ل الجامع,يجب أن أذهب إلى المسجد,TRUE,RIDA Ahlame,,,,,,,,,
9245,I took them to the mosque,ddit8oum l jjame3,الديتهوم ل الجامع,أخذتهم إلى المسجد,TRUE,RIDA Ahlame,,,,,,,,,
9246,This mosque needs a new imam,8ad jjame3 kheSSo 2imam jdid,هاد الجامع خصّو إمام جديد,هذا المسجد يحتاج إلى إمام جديد,TRUE,RIDA Ahlame,,,,,,,,,
9247,But there is only one mosque,walakin kayn ghir jame3 wa7ed,والاكين كاين غير جامع واحد,ولكن يوجد مسجد واحد فقط,TRUE,RIDA Ahlame,,,,,,,,,
9248,They went to the mosque to pray,mchaw l jjame3 ySelliw,مشاو ل الجامع يصلّيو,ذهبوا إلى المسجد للصلاة,TRUE,RIDA Ahlame,,,,,,,,,
9249,Have you ever prayed in a mosque?,wach 3emmrek Selliti f jjame3?,واش عمّرك صلّيتي ف الجامع?,هل صليت من قبل في مسجد؟,TRUE,RIDA Ahlame,,,,,,,,,
9250,This is an ancient mosque,8ada jame3 9dim,هادا جامع قديم,هذا مسجد قديم,TRUE,RIDA Ahlame,,,,,,,,,
9251,Islamic calendar,tta9wim l 2islami,التاقويم ل إسلامي,التقويم الهجري,TRUE,RIDA Ahlame,,تاريخ لهجري,,,,,,,
9252,Every muslim is fasting during Ramadan,koul mouslim kaySom f remdan,كول موسليم كايصوم ف رمدان,كل مسلم يصوم خلال شهر رمضان,TRUE,RIDA Ahlame,,كاع لمسلمين كي صومو رمضان,,,,,,,
9253,Fasting is the best medicine,sSyam 8owwa 2a7san dwa,سصيام هووّا أحسان دوا,الصيام هو أفضل دواء,TRUE,RIDA Ahlame,,,,,,,,,
9254,Don't twist my words,matgouwelnich chi 7aja magoult8ach,ماتڭوولنيش شي حاجا ماڭولتهاش,لا تحرف كلامي,TRUE,RIDA Ahlame,,,,,,,,,
9255,Let me finish,khellini nkemmel,خلّيني نكمّل,دعني أنهي,TRUE,RIDA Ahlame,,,,,,,,,
9256,Don't interrupt me,mat9aTe3nich,ماتقاطعنيش,لا تقاطعني,TRUE,RIDA Ahlame,,,,,,,,,
9257,I haven't finished yet,mazal masalit,مازال ماساليت,لم أنتهِ بعد,TRUE,RIDA Ahlame,,,,,,,,,
9258,I am thirsty,fiyya l3Tech,فييّا لعطش,أنا عطشان,TRUE,RIDA Ahlame,,,,,,,,,
9259,Let it slide,ghir dewwez8a,غير دوّزها,دعها تمر,TRUE,RIDA Ahlame,,غير خليها تدوّز,FALSE,Yousef,,,,,
9260,"It's not you, it's me","Lmouchkil machi fik, fiyya","لموشكيل ماشي فيك, فييّا",لست أنت، إنه أنا,TRUE,RIDA Ahlame,,راه ماشي انا، راه هوا,,,,,,,
9261,I think we should split up,kheSSna ntfar9o,خصّنا نتفارقو,أعتقد أنه يجب أن ننفصل,TRUE,RIDA Ahlame,,,,,,,,,
9262,We should stop seeing each other,kheSSna manb9awch ntla9aw,خصّنا مانبقاوش نتلاقاو,يجب أن نتوقف عن رؤية بعضنا البعض,TRUE,RIDA Ahlame,,,,,,,,,
9263,Don't make a scene,blama tkebber lmodo3,بلاما تكبّر لمودوع,لا تحدث مشهدًا,TRUE,RIDA Ahlame,,بلاما تكبّر لموضوع,FALSE,Yousef,,,,,
9264,Don't make a big deal,blama ddir mouchkil kbir,بلاما الدير موشكيل كبير,لا تضخم الأمور,TRUE,RIDA Ahlame,,,,,,,,,
9265,You are one of a kind,nta makayench b7alek,نتا ماكاينش بحالك,أنت فريد من نوعك,TRUE,RIDA Ahlame,,,,,,,,,
9266,You are second to none,nta mamennekch jouj,نتا مامنّكش جوج,أنت لا تضاهى,TRUE,RIDA Ahlame,,,,,,,,,
9267,You are out of this world,nta machi mn 8ad l3alam,نتا ماشي من هاد لعالام,أنت خارج عن هذا العالم,TRUE,RIDA Ahlame,,,,,,,,,
9268,It's spitting,ssma katne99eT,السما كاتنقّط,إنها تنقط,TRUE,RIDA Ahlame,,,,,,,,,
9269,It's raining,chchta kaTTi7,الشتا كاطّيح,إنها تمطر,TRUE,RIDA Ahlame,,,,,,,,,
9270,It's raining cats and dogs,chchta khiT mn ssma,الشتا خيط من السما,إنها تمطر بغزارة,TRUE,RIDA Ahlame,,,,,,,,,
9271,I got soaking wet,fzegt bchchta,فزڭت بشّتا,أصبحت مبللاً تماماً,TRUE,RIDA Ahlame,,,,,,,,,
9272,They are calling for rain,galou ghadi TTi7 chchta,ڭالو غادي الطيح الشتا,يتوقعون هطول الأمطار,TRUE,RIDA Ahlame,,,,,,,,,
9273,Why are you so nosy?,malek fDouli?,مالك فضولي?,لماذا أنت فضولي جداً؟,TRUE,RIDA Ahlame,,,,,,,,,
9274,I am freezing,ana tjemmedt,أنا تجمّدت,أنا أتجمد,TRUE,RIDA Ahlame,,,,,,,,,
9275,leave me alone,khellini bbou7di,خلّيني البوحدي,اتركني وحدي,TRUE,RIDA Ahlame,,,,,,,,,
9276,Get away,be33ed menni,بعّد منّي,ابتعد,TRUE,RIDA Ahlame,,,,,,,,,
9277,Get away,3Tini ttisa3,عطيني التيساع,ابتعد,TRUE,RIDA Ahlame,,,,,,,,,
9278,Get away,3Tini tti9ar,عطيني التيقار,ابتعد,TRUE,RIDA Ahlame,,,,,,,,,
9279,Don't take it out on me,matkhwich fiyya l2a3Sab dyalk,ماتخويش فييّا لأعصاب ديالك,لا تحمّلني مسؤولية ذلك,TRUE,RIDA Ahlame,,ما تحملنيش مسؤولية داكشي,,,,,,,
9280,I am not in the mood...,ma3ndich lgana l...,ماعنديش لڭانا ل...,أنا لست في المزاج...,TRUE,RIDA Ahlame,,,,,,,,,
9281,not the same,machi 7al b7al,ماشي حال بحال,ليس نفس الشيء,TRUE,RIDA Ahlame,,ماشي بحال بحال,FALSE,Yousef,,,,,
9282,That's all right,8anya,هانيا,لا بأس,TRUE,RIDA Ahlame,,,,,,,,,
9283,Never mind,maddirch fbalek,مادّيرش فبالك,لا يهم,TRUE,RIDA Ahlame,,,,,,,,,
9284,No harm done,maw9e3 walo,ماوقع والو,لم يحدث ضرر,TRUE,RIDA Ahlame,,,,,,,,,
9285,Mind your own business,ddi8a fSo9 raSek,الديها فصوق راصك,اهتم بشؤونك الخاصة,TRUE,RIDA Ahlame,,,,,,,,,
9286,It's none of your business,machi choughlek,ماشي شوغلك,ليس من شأنك,TRUE,RIDA Ahlame,,,,,,,,,
9287,Don't be so nosy,matkounch fDouli,ماتكونش فضولي,لا تكن فضوليًا جدًا,TRUE,RIDA Ahlame,,,,,,,,,
9288,Let's get the ball rolling,yalla8 nbdaw,يالّاه نبداو,هيا نبدأ العمل,TRUE,RIDA Ahlame,,,,,,,,,
9289,Let me try to turn the volume up,bllati nzid f SSouT,بلّاتي نزيد ف الصوط,دعني أحاول رفع الصوت,TRUE,RIDA Ahlame,,بلّاتي نزيد ف الصوت,FALSE,Yousef,,,,,
9290,You are on mute,sSouT Tafi,سصوط طافي,أنت على الصامت,TRUE,RIDA Ahlame,,,,,,,,,
9291,He is a stubborn person,raSo 9ase7,راصو قاسح,إنه شخص عنيد,TRUE,RIDA Ahlame,,,,,,,,,
9292,Shake a leg,khllef dghya,خلّف دغيا,بادر بالحركة,TRUE,RIDA Ahlame,,بدا نتا,,,,,,,
9293,Chop chop,serbi serbi,سربي سربي,بسرعة بسرعة,TRUE,RIDA Ahlame,,,,,,,,,
9294,I feel exhausted,kan7es braSi msekhsekh,كانحس براصي مسخسخ,أشعر بالإرهاق,TRUE,RIDA Ahlame,,,,,,,,,
9295,I feel drained,kan7es braSi 3yyan,كانحس براصي عيّان,أشعر بالإرهاق,TRUE,RIDA Ahlame,,,,,,,,,
9296,I am stuffed,ana tetkhemt,أنا تتخمت,أنا ممتلئ,TRUE,RIDA Ahlame,,انا شبعان,,,,,,,
9297,Long time no see,wa ghbour 8ada,وا غبور هادا,لم نلتقِ منذ زمن,TRUE,RIDA Ahlame,,,,,,,,,
9298,I haven't seen you in ages,macheftekch moudda 8adi,ماشفتكش مودّا هادي,لم أراك منذ زمن بعيد,TRUE,RIDA Ahlame,,,,,,,,,
9299,the bananas are black,lbanan k7el,لبانان كحل,الموز أسود,TRUE,RIDA Ahlame,,,,,,,,,
9300,I've had enough,baraka 3liyya,باراكا علييّا,لقد حصلت على ما يكفي,TRUE,RIDA Ahlame,,راه خديت لي يكفي,,,,,,,
9301,Thank you! You shouldn't have,chokran! 3lach kellefti raSek,شوكران! علاش كلّفتي راصك,شكراً لك! لم يكن عليك,TRUE,RIDA Ahlame,,,,,,,,,
9302,On purpose,bel3ani,بلعاني,عمدًا,TRUE,RIDA Ahlame,,,,,,,,,
9303,By mistake,madert8ach bel3ani,مادرتهاش بلعاني,بالخطأ,TRUE,RIDA Ahlame,,,,,,,,,
9304,It serves you right,mzyana fik,مزيانا فيك,هذا جزاؤك,TRUE,RIDA Ahlame,,,,,,,,,
9305,It serves you right,ghezza fik,غزّا فيك,هذا جزاؤك,TRUE,RIDA Ahlame,,,,,,,,,
9306,You are stingy,nta ze9ram,نتا زقرام,أنت بخيل,TRUE,RIDA Ahlame,,,,,,,,,
9307,Behave yourself,7tarem raSek,حتارم راصك,تصرف بأدب,TRUE,RIDA Ahlame,,تصرف بأداب,,,,,,,
9308,Enough is enough,3eyye9ti,عيّقتي,يكفي,TRUE,RIDA Ahlame,,باراكا,,,,,,,
9309,Watch your mouth,jme3 femmek,جمع فمّك,احترس من كلامك,TRUE,RIDA Ahlame,,,,,,,,,
9310,Carry yourself,jme3 raSek,جمع راصك,احمل نفسك,TRUE,RIDA Ahlame,,,,,,,,,
9311,Get lost,ghber,غبر,اضِع الطريق,TRUE,RIDA Ahlame,,,,,,,,,
9312,You're out of line,tjawezti l7oudoud dyalek,تجاوزتي لحودود ديالك,أنت تتجاوز الحدود,TRUE,RIDA Ahlame,,,,,,,,,
9313,I like steamed beef,kay3jebni ll7em mbekhkher,كايعجبني اللحم مبخّر,أحب اللحم المطهو على البخار,TRUE,RIDA Ahlame,,,,,,,,,
9314,This chicken is still raw,8ad ddjaj mazal khDer,هاد الدجاج مازال خضر,هذا الدجاج لا يزال نيئًا,TRUE,RIDA Ahlame,,,,,,,,,
9315,I zoned out,s8it,سهيت,لقد شرد ذهني,TRUE,RIDA Ahlame,,,,,,,,,
9316,Button your lips,sedd femmek,سدّ فمّك,اُكتِم أسرارك,TRUE,RIDA Ahlame,,خلي سرك عندك,,,,,,,
9317,I am scared to death,kanmout blkhel3a,كانموت بلخلعا,أنا خائف حتى الموت,TRUE,RIDA Ahlame,,,,,,,,,
9318,I am shaking,kan9ef9ef,كانقفقف,أنا أرتجف,TRUE,RIDA Ahlame,,,,,,,,,
9319,I am shaking,kantre33ed,كانترعّد,أنا أرتجف,TRUE,RIDA Ahlame,,,,,,,,,
9320,Get straight to the point,jini nichan,جيني نيشان,اذهب مباشرة إلى النقطة,TRUE,RIDA Ahlame,,,,,,,,,
9321,Get straight to the point,jini goud,جيني ڭود,اذهب مباشرة إلى النقطة,TRUE,RIDA Ahlame,,,,,,,,,
9322,Stop beating around the bush,blama tb9a DDour fl8eDra,بلاما تبقا الضور فلهضرا,توقف عن لف ودوران,TRUE,RIDA Ahlame,,,,,,,,,
9323,Come again,3awed,عاود,عُد مرة أخرى,TRUE,RIDA Ahlame,,رجع مرا أخرا,,,,,,,
9324,"Can you repeat that, please?",wakha t3awed 3afak?,واخا تعاود عافاك?,هل يمكنك تكرار ذلك، من فضلك؟,TRUE,RIDA Ahlame,,,,,,,,,
9325,It's the dead of summer,lmout dyal SSe8d,لموت ديال الصهد,إنها ذروة الصيف,TRUE,RIDA Ahlame,,,,,,,,,
9326,I am in a soup,7rirti 7rira,حريرتي حريرا,أنا في ورطة,TRUE,RIDA Ahlame,,,,,,,,,
9327,I am in a pickle,9effert8a,قفّرتها,أنا في مأزق,TRUE,RIDA Ahlame,,,,,,,,,
9328,it's my treat,ana li ghadi nkhelleS,أنا لي غادي نخلّص,أنا أدفع,TRUE,RIDA Ahlame,,,,,,,,,
9329,Appreciate yourself,9edder raSek,قدّر راصك,قدّر ذاتك,TRUE,RIDA Ahlame,,,,,,,,,
9330,Value yourself,3Ti l9ima l raSek,عطي لقيما ل راصك,قدّر ذاتك,TRUE,RIDA Ahlame,,,,,,,,,
9331,You are breaking up,sSouT kayt9eTTe3,سصوط كايتقطّع,أنت تنفصل,TRUE,RIDA Ahlame,,,,,,,,,
9332,You are frozen,tblokiti,تبلوكيتي,أنت متجمد,TRUE,RIDA Ahlame,,,,,,,,,
9333,"So, are we good to go?","Idan, wach n9edrou nkemlou?","إدان, واش نقدرو نكملو?",إذًا، هل نحن جاهزون للانطلاق؟,TRUE,RIDA Ahlame,,"ادان, واش حنا واجدين باش نتحركو؟",,,,,,,
9334,I am in two minds,ana me7tar,أنا محتار,أنا متردد,TRUE,RIDA Ahlame,,,,,,,,,
9335,I have no clue,ma3reftch,ماعرفتش,ليس لدي أي فكرة,TRUE,RIDA Ahlame,,,,,,,,,
9336,I don't have it,ma3ndich,ماعنديش,ليس عندي,TRUE,RIDA Ahlame,,,,,,,,,
9337,None of my business,machi choghli,ماشي شوغلي,ليس من شأني,TRUE,RIDA Ahlame,,,,,,,,,
9338,None of my business,machi So9i,ماشي صوقي,ليس من شأني,TRUE,RIDA Ahlame,,,,,,,,,
9339,I don't care,makay8emnich,ماكايهمنيش,لا يهمني,TRUE,RIDA Ahlame,,,,,,,,,
9340,I didn't hear,masme3tch,ماسمعتش,لم أسمع,TRUE,RIDA Ahlame,,,,,,,,,
9341,Why are you staring at me?,malek katchouf fiyya?,مالك كاتشوف فييّا?,لماذا تحدق بي؟,TRUE,RIDA Ahlame,,,,,,,,,
9342,Why are you staring at me?,malek kat7enzez fiyya?,مالك كاتحنزز فييّا?,لماذا تحدق بي؟,TRUE,RIDA Ahlame,,,,,,,,,
9343,Stop looking at me,baraka matchouf fiyya,باراكا ماتشوف فييّا,توقف عن النظر إليّ,TRUE,RIDA Ahlame,,,,,,,,,
9344,Take care of yourself,t8ella fraSek,تهلّا فراصك,اعتنِ بنفسك,TRUE,RIDA Ahlame,,,,,,,,,
9345,Treat yourself,fechchech raSek,فشّش راصك,دلل نفسك,TRUE,RIDA Ahlame,,,,,,,,,
9346,You got to be kidding me?,bayna kaD7ek m3aya?,باينا كاضحك معايا?,ألا تكون تمزح معي؟,TRUE,RIDA Ahlame,,,,,,,,,
9347,Are you mocking me?,wach kaD7ek 3liyya?,واش كاضحك علييّا?,هل تسخر مني؟,TRUE,RIDA Ahlame,,,,,,,,,
9348,It's never too late,ma3mer lwe9t mayfout,ماعمر لوقت مايفوت,ليس فات الأوان أبدًا,TRUE,RIDA Ahlame,,,,,,,,,
9349,Stop blaming yourself,baraka matloum raSek,باراكا ماتلوم راصك,توقف عن لوم نفسك,TRUE,RIDA Ahlame,,,,,,,,,
9350,Don't get me wrong,matf8emnich ghalaT,ماتفهمنيش غالاط,لا تفهمني خطأ,TRUE,RIDA Ahlame,,,,,,,,,
9351,I like almonds,kay3jebni llouz,كايعجبني اللوز,أنا أحب اللوز,TRUE,RIDA Ahlame,,,,,,,,,
9352,I like pistachios,kay3jebni l ppistach,كايعجبني ل الپيستاش,أنا أحب الفستق,TRUE,RIDA Ahlame,,,,,,,,,
9353,I like raisins,ka3jebni zzbib,كاعجبني الزبيب,أنا أحب الزبيب,TRUE,RIDA Ahlame,,,,,,,,,
9354,Boot-licking,l7is lkappa,لحيس لكاپّا,تملق,TRUE,RIDA Ahlame,,,,,,,,,
9355,Buttering up,tbel7is,تبلحيس,التملق,TRUE,RIDA Ahlame,,,,,,,,,
9356,I have pimples,3endi l7boub,عندي لحبوب,عندي حب الشباب,TRUE,RIDA Ahlame,,عندي حب الشباب,FALSE,Yousef,,,,,
9357,He has a tiny mole on his cheek,3endo khala Sghira f 7enkou,عندو خالا صغيرا ف حنكو,لديه شامة صغيرة على خده,TRUE,RIDA Ahlame,,,,,,,,,
9358,A cold sore on my mouth refused to heal,3endi skhana f femmi mabghatch tbra,عندي سخانا ف فمّي مابغاتش تبرا,قرحة باردة على فمي رفضت أن تلتئم,TRUE,RIDA Ahlame,,,,,,,,,
9359,I like freckles,kay3jebni nnemch,كايعجبني النمش,أنا أحب النمش,TRUE,RIDA Ahlame,,,,,,,,,
9360,I like dimples,kate3jebni l7fra d zzin,كاتعجبني لحفرا د الزين,أنا أحب الغمازات,TRUE,RIDA Ahlame,,,,,,,,,
9361,I have a birthmark,3endi tew7ima,عندي توحيما,لدي علامة ولادة,TRUE,RIDA Ahlame,,,,,,,,,
9362,I have wrinkles,fiyya ttaja3id,فييّا التاجاعيد,لدي تجاعيد,TRUE,RIDA Ahlame,,,,,,,,,
9363,I want a toy,bghit lo3ba,بغيت لوعبا,أريد لعبة,TRUE,RIDA Ahlame,,,,,,,,,
9364,The dog scratched its ear,lkelb jre7 wedni8,لكلب جرح ودنيه,خدش الكلب أذنه,TRUE,RIDA Ahlame,,,,,,,,,
9365,He was badly burned,t7re9 7er9a khayba,تحرق حرقا خايبا,لقد أُصيب بحروق بالغة,TRUE,RIDA Ahlame,,,,,,,,,
9366,That burn will leave a scar,8ad l7er9a ghadi tkhelli laTraS,هاد لحرقا غادي تخلّي لاطراص,ستترك تلك الحرقة ندبة,TRUE,RIDA Ahlame,,,,,,,,,
9367,How did you burn your hand?,kifach 7re9ti yeddik?,كيفاش حرقتي يدّيك?,كيف أحرقت يدك؟,TRUE,RIDA Ahlame,,,,,,,,,
9368,I am just pulling your leg,kent ghir kand7ek m3ak,كنت غير كاندحك معاك,أنا فقط أمزح معك,TRUE,RIDA Ahlame,,,,,,,,,
9369,I am just pulling your leg,kent ghir kantfella m3ak,كنت غير كانتفلّا معاك,أنا فقط أمزح معك,TRUE,RIDA Ahlame,,,,,,,,,
9370,Just kidding,ghir kand7ek,غير كاندحك,أمزح فقط,TRUE,RIDA Ahlame,,,,,,,,,
9371,Don't pin this on me,blama tsebb8a fiyya,بلاما تسبّها فييّا,لا تحمّلني مسؤولية هذا,TRUE,RIDA Ahlame,,,,,,,,,
9372,Don't look at me,blama tchouf fiyya,بلاما تشوف فييّا,لا تنظر إليّ,TRUE,SODJI Sourou Alfrèd,,تشوفش فييّا,FALSE,Yousef,,,,,
9373,Welcome anytime,mre7ba bik f2ay wa9t,مرحبا بيك فأي واقت,مرحبًا في أي وقت,TRUE,SODJI Sourou Alfrèd,,مرحبا بيك فأي واقت,FALSE,Yousef,,,,,
9374,It's not me who did it,machi ana lli dert8a,ماشي أنا اللي درتها,لست أنا من فعل ذلك,TRUE,SODJI Sourou Alfrèd,,ماشي أنا اللي درت هادشي,FALSE,Yousef,,,,,
9375,He let out a loud sneeze,3Tes bjje8d,عطس بجّهد,أطلق عطسة عالية,TRUE,SODJI Sourou Alfrèd,,عطس بجّهد,FALSE,Yousef,,,,,
9376,He sneezes a lot,kay3TeS bzzaf,كايعطص بزّاف,يعطس كثيرًا,TRUE,SODJI Sourou Alfrèd,,كايعطص بزّاف,FALSE,Yousef,,,,,
9377,I think I may sneeze,wa9ila ghadi n3TeS,واقيلا غادي نعطص,أعتقد أنني قد أعطس,TRUE,SODJI Sourou Alfrèd,,واقيلا غادي نعطص,FALSE,Yousef,,,,,
9378,The smoke made him sneeze,ddkhkhan jab li8 l3eTSa,الدخّان جاب ليه لعطصا,جعله الدخان يعطس,TRUE,SODJI Sourou Alfrèd,,الدخّان جاب ليه لعطصا,FALSE,Yousef,,,,,
9379,The dust makes him sneeze.,l ghebra katjib li8 l3eTSa,ل غبرا كاتجيب ليه لعطصا,الغبار يجعله يعطس.,TRUE,SODJI Sourou Alfrèd,,ل غبرا كاتجيب ليه لعطصا,FALSE,Yousef,,,,,
9380,He yawned,8owwa tfewwe8,هووّا تفوّه,تثاءب,TRUE,SODJI Sourou Alfrèd,,تفوّه,FALSE,Yousef,,,,,
9381,Try not to yawn,7awel matfewwe8ch,حاول ماتفوّهش,حاول ألا تتثاءب,TRUE,SODJI Sourou Alfrèd,,حاول ماتفوّهش,FALSE,Yousef,,,,,
9382,Do your best,dir je8dek,دير جهدك,اجتهد قدر استطاعتك,TRUE,SODJI Sourou Alfrèd,,دير جهدك,FALSE,Yousef,,,,,
9383,You hit the spot,jebti8a laS9a,جبتيها لاصقا,أصبت الهدف,TRUE,SODJI Sourou Alfrèd,,جبتيها لاصقا,FALSE,Yousef,,,,,
9384,Exactly,nNichan,النيشان,بالضبط,TRUE,SODJI Sourou Alfrèd,,داكشي,FALSE,Yousef,,,,,
9385,What's gone is gone,li w9e3 w9e3,لي وقع وقع,ما ذهب قد ذهب,TRUE,SODJI Sourou Alfrèd,,لي وقع وقع,FALSE,Yousef,,,,,
9386,Wishing you a pleasant day,kantmenna lik n8ar zwin,كانتمنّا ليك نهار زوين,أتمنى لك يوماً سعيداً,TRUE,SODJI Sourou Alfrèd,,كانتمنّا ليك نهار زوين,FALSE,Yousef,,,,,
9387,I can't take my eyes off of you,ma9dertch n7eyyed 3ini 3lik,ماقدرتش نحيّد عيني عليك,لا أستطيع أن أصرف نظري عنك,TRUE,SODJI Sourou Alfrèd,,ماقدرتش نحيّد عيني عليك,FALSE,Yousef,,,,,
9388,You look pretty as always,katbani zwina b7al dima,كاتباني زوينا بحال ديما,أنتِ تبدين جميلة كالعادة,TRUE,SODJI Sourou Alfrèd,,كاتباني زوينا بحال ديما,FALSE,Yousef,,,,,
9389,No rush,ghir bchwiyya,غير بشوييّا,بدون عجلة,TRUE,SODJI Sourou Alfrèd,,غير بشوييّا,FALSE,Yousef,,,,,
9390,Third time pays for all,ttalta tabta,التالتا تابتا,المرة الثالثة تعوض عن الكل,TRUE,SODJI Sourou Alfrèd,,التالتا تابتا,FALSE,Yousef,,,,,
9391,You should stop backbiting,kheSSek t7bes l ghiba,خصّك تحبس ل غيبا,يجب أن تتوقف عن الغيبة,TRUE,SODJI Sourou Alfrèd,,خصّك تحبس ل غيبا,FALSE,Yousef,,,,,
9392,He's been gossiping about you,kan chad fik nnamima,كان شاد فيك الناميما,لقد كان ينم عنك,TRUE,SODJI Sourou Alfrèd,,كان شاد فيك الناميما,FALSE,Yousef,,,,,
9393,Stop gossiping,baraka men nnamima,باراكا من الناميما,توقف عن النميمة,TRUE,SODJI Sourou Alfrèd,,باراكا من الناميما,FALSE,Yousef,,,,,
9394,I wasn't gossiping,makentch kannemmem,ماكنتش كانّمّم,لم أكن أنم,TRUE,SODJI Sourou Alfrèd,,ماكنتش كانّمّم,FALSE,Yousef,,,,,
9395,He really likes gossiping,3ziz 3li8 nnamima,عزيز عليه الناميما,إنه يحب النميمة حقًا,TRUE,SODJI Sourou Alfrèd,,عزيز عليه الناميما,FALSE,Yousef,,,,,
9396,His hypocrisy makes me sick,nnifa9 dyalo kaymerredni,النيفاق ديالو كايمرّدني,نفاقه يجعلني أشعر بالغثيان,TRUE,SODJI Sourou Alfrèd,,النيفاق ديالو كايمرّدني,FALSE,Yousef,,,,,
9397,I hate smoking,kankre8 l garrou,كانكره ل ڭارّو,أنا أكره التدخين,TRUE,SODJI Sourou Alfrèd,,كانكره لكماية,FALSE,Yousef,,,,,
9398,He's been gambling heavily,kan kay9emmer bzzaf,كان كايقمّر بزّاف,لقد كان يقامر بشكل كبير,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9399,Gambling is a curse,l9mer moSiba,لقمر موصيبا,القمار لعنة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9400,He lost his money gambling,khser flousou f l9mer,خسر فلوسو ف لقمر,خسر أمواله في القمار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9401,Stop gambling,baraka mat9emmer,باراكا ماتقمّر,توقف عن القمار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9402,I'll stop gambling,ghadi n7ebes l9mer,غادي نحبس لقمر,سأتوقف عن المقامرة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9403,He loves gambling,3ziz 3li8 y9emmer,عزيز عليه يقمّر,إنه يحب القمار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9404,He is a gambling addict,8owwa moudmin 3la l9mer,هووّا مودمين علا لقمر,إنه مدمن قمار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9405,He was just gambling,kan ghir kay9emmer,كان غير كايقمّر,كان يقامر فقط,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9406,Are you really gambling?,wach bSSe7 kat9emmer?,واش بصّح كاتقمّر?,هل أنت حقًا تقامر؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9407,He has a gambling problem,3endou mouchkil dyal l9mer,عندو موشكيل ديال لقمر,لديه مشكلة في القمار,TRUE,SODJI Sourou Alfrèd,,عندو موشكيل مع لقمر,FALSE,Yousef,,,,,
9408,I'm not gambling anymore,mab9itch kan9emmer mazal,مابقيتش كانقمّر مازال,لم أعد أقامر بعد الآن,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
